"","mmsi","name","operator","com_score_reported","compliance score (calculated speed)","total distance (km)","average speed (knots)","average speed calculated (knots)","total distance (nautcal miles)","distance (nautcal miles) over 10 knots","distance (nautcal miles) 0-10 knots","distance (nautcal miles) 10-12 knots","distance (nautcal miles) 12-15 knots","distance (nautcal miles) over 15 knots","number_of_distinct_trips","gt","ship_type","ship_type_ihs","noaa compliance score (reported speed)","noaa compliance score (calculated speed)","grade","noaa_grade"
"53",356577000,"VIRGO LEADER","NYK Line",100,68.6260008349095,62.5885817,8.87175925925926,8.8666912037037,33.7951428089869,0,33.7951428089869,0,0,0,1,61854,70,"Vehicles Carrier",100,68.6260008349095,"A+","A"
"54",477049800,"NOT NAMED","Pacific Basin Shipping HK Ltd",100,1.01250955850723,58.725174,8.975,342.3566475,31.709068777518,0,31.709068777518,0,0,0,2,17018,0,"Bulk Carrier",100,0,"A+","A"
"55",566253000,"TORM ARAWA","TORM A/S",100,71.319033770055,53.7678099,8.88627450980392,9.06322019607843,29.0323053301743,0,29.0323053301743,0,0,0,1,30302,89,"Chemical/Products Tanker",100,71.319033770055,"A+","A"
"56",367492920,"KENNETH CARL","So Cal Ship Services",100,95.4573197647047,52.950876474,3.22222222222222,3.04549891412698,28.5911964082716,0,28.5911964082716,0,0,0,9,200,79,"Pollution Control Vessel",100,95.4573197647047,"A+","A"
"57",477307700,"DHT LION","DHT Management AS",100,82.3756947127108,45.800767,5.55769230769231,5.95842807692308,24.730444747019,0,24.730444747019,0,0,0,3,154180,89,"Crude Oil Tanker",100,82.3756947127108,"A+","A"
"58",367000160,"YELLOWFIN","California State",100,95.3077969253727,44.151237,5.14923076923077,5.35724618384615,23.839769476809,0,23.839769476809,0,0,0,4,109,90,"Fishing Vessel",100,95.3077969253727,"A+","A"
"59",477372800,"DHT STALLION","DHT Management AS",100,70.680720563987,41.7399378,7.73239436619718,8.22820309859155,22.5377715946746,0,22.5377715946746,0,0,0,2,163571,80,"Crude Oil Tanker",100,70.680720563987,"A+","A"
"60",240556000,"CAP GUILLAUME","Euronav NV",100,92.0452472288454,40.06432496,7.17159090909091,7.44975735,21.6330127124267,0,21.6330127124267,0,0,0,3,81324,80,"Crude Oil Tanker",100,92.0452472288454,"A+","A"
"61",366998840,"MILLENIUM MAVERICK","CIT Bank NA",100,99.0165761416772,39.2070008,8.34848484848485,8.24546878787879,21.1700945309656,0,21.1700945309656,0,0,0,2,374,31,"Tug",100,99.0165761416772,"A+","A"
"62",366757740,"PETER  M.","Manson Construction Co",100,100,39.1410219,6.83641304347826,6.91123760869565,21.1344687620583,0,21.1344687620583,0,0,0,2,296,52,"Tug",100,100,"A+","A"
