mmsi,name,operator,com_score_reported,compliance score (calculated speed),total distance (km),average speed (knots),average speed calculated (knots),total distance (nautcal miles),distance (nautcal miles) over 10 knots,distance (nautcal miles) 0-10 knots,distance (nautcal miles) 10-12 knots,distance (nautcal miles) 12-15 knots,distance (nautcal miles) over 15 knots,number_of_distinct_trips,gt,ship_type,ship_type_ihs,noaa compliance score (reported speed),noaa compliance score (calculated speed),grade,noaa_grade
538003905,NOT NAMED,Eagle Bulk Shipping Inc,99.1451588328074,0.17640536127136097,1019.604499,7.266666666666667,630.7355968627451,550.5425864665431,4.706264672043,545.8363217945,4.706264672043,0,0,1,33045,0,Bulk Carrier,99.1451588328074,0,A+,A
367199960,DANNY C,NA,100,82.52306373255908,1008.405016206,3.556609071274298,3.568493227429806,544.4953473355432,0.8230850728210001,544.4953473355432,0,0,0,24,NA,7,NA,100,82.52306373255908,A+,A
229620000,MSC AZOV,MSC Mediterranean Shipping Co,99.09834985876375,64.00631181268709,957.5907112,9.538141592920354,9.740060053097345,517.0578076474184,27.0552935414278,512.3957551944924,4.662052452926,0,0,9,94402,70,Container Ship (Fully Cellular),99.09834985876375,64.00631181268709,A+,A
366938510,KLIHYAM,Sause Bros Inc,99.95830134658861,81.8333277251441,833.49214319,8.247969052224372,8.377312805802708,450.0499171604429,2.605230969902,449.86225240530786,0.187664755135,0,0,6,485,32,Tug,99.95830134658861,81.8333277251441,A+,A
338272000,NATOMA,Sause Bros Inc,100,92.44241282386042,793.4184668,6.127377300613497,6.189057035276074,428.4118550779276,0,428.4118550779276,0,0,0,6,583,31,Tug,100,92.44241282386042,A+,A
367395280,CLEAN OCEAN,Blue Ocean Marine LLC,100,85.84113480276908,743.334733638,6.840546110252447,6.941822366202988,401.3687927709736,0,401.3687927709736,0,0,0,13,423,90,Platform Supply Ship,100,85.84113480276908,A+,A
352361000,MSC BETTINA,MSC Mediterranean Shipping Co,100,70.29474513080804,669.6206226,8.899108367626885,9.127918477366254,361.56634251722824,0,361.56634251722824,0,0,0,4,151559,71,Container Ship (Fully Cellular),100,70.29474513080804,A+,A
636015604,MSC ALTAIR,MSC Mediterranean Shipping Co,100,74.21943683812854,626.0715966,9.432960268606603,9.527087302742025,338.05174108534624,1.196655403185,338.05174108534624,0,0,0,3,141635,71,Container Ship (Fully Cellular),100,74.21943683812854,A+,A
215197000,CMA CGM G.WASHINGTON,CMA CGM SA The French Line,99.73791979870197,62.75824269548368,563.6587551,9.213274336283186,9.447347180783819,304.35149042753073,2.356453881507,303.5538454287647,0.797644998766,0,0,3,140872,71,Container Ship (Fully Cellular),99.73791979870197,62.75824269548368,A+,A
373069000,MSC AURORA,MSC Mediterranean Shipping Co,99.5215502446199,66.84939431112214,552.0046714,8.766224188790561,9.016922706489675,298.0587863551298,3.236581631679,296.6327248209248,1.426061534205,0,0,3,143521,71,Container Ship (Fully Cellular),99.5215502446199,66.84939431112214,A+,A
371908000,MSC SILVANA,MSC Mediterranean Shipping Co,100,75.17015709731824,549.860373,8.872275641025642,9.082476358173077,296.900957423961,0,296.900957423961,0,0,0,3,94489,71,Container Ship (Fully Cellular),100,75.17015709731824,A+,A
564268000,AURIGA LEADER,NA,99.5913033570898,92.6578457971766,488.973187,8.089336121275483,8.162831955044433,264.02449513295903,2.942483252489,262.94543588489,1.079059248069,0,0,5,NA,70,NA,99.5913033570898,92.6578457971766,A+,A
367758240,LUCY FRANCO,NA,100,93.87650046803455,481.4959705,7.606473988439307,7.738727791907515,259.9871197432685,0,259.9871197432685,0,0,0,17,NA,31,NA,100,93.87650046803455,A+,A
563231000,APL MERLION,APL LLC,99.45808465104639,61.91369283900674,406.6904553,9.673761713520749,11.314742248995984,219.5953581724221,3.477449429938,218.40533722089612,0.967616442925,0.222404508601,0,2,168423,70,Container Ship (Fully Cellular),99.45808465104639,61.91369283900674,A+,A
566797000,APL VANCOUVER,APL LLC,100,50.950919799898145,367.7877935,9.602203389830509,9.632427669491525,198.5895936148795,1.481341791908,198.5895936148795,0,0,0,2,109712,79,Container Ship (Fully Cellular),100,50.950919799898145,A+,A
372400000,MSC MARIA SAVERIA,MSC Mediterranean Shipping Co,99.8560724797399,81.83405692055567,367.3981175,8.768250377073906,8.83294108597285,198.3791853309475,1.8685915548971002,198.0936630887885,0.285522242159,0,0,3,140096,71,Container Ship (Fully Cellular),99.8560724797399,81.83405692055567,A+,A
356688000,DENEB LEADER,NYK Line,100,81.32875544172303,358.8902796,9.008585445625512,9.205979803761243,193.78531870197722,0.410247449546,193.78531870197722,0,0,0,2,70048,70,Vehicles Carrier,100,81.32875544172303,A+,A
518107000,SOUTHERN HORIZON,NA,100,85.76460417094867,355.201103694,6.5599169262720665,6.658312769989616,191.79332234730117,0,191.79332234730117,0,0,0,6,NA,30,NA,100,85.76460417094867,A+,A
367770990,MIN ZIDELL,Olympic Tug & Barge Inc,100,86.54257039798883,346.2233887,6.892446292446293,6.873649632709633,186.9457422922859,0,186.9457422922859,0,0,0,4,497,90,Articulated Pusher Tug,100,86.54257039798883,A+,A
367766000,WESTERN FLYER,Monterey Bay Aquarium Research,99.5363948647291,81.2765466203365,339.7596101,8.566832174776565,9.378598202581927,183.4555797907657,2.81392111066,182.6050703019147,0.8505094888510001,0,0,4,856,39,Research Survey Vessel,99.5363948647291,81.2765466203365,A+,A
319011400,NOT NAMED,NA,100,0,335.532164,2.3444444444444446,1280.0918555555556,181.172940676948,0,181.172940676948,0,0,0,2,NA,0,NA,100,0,A+,A
367308610,SARAH C.,NA,100,95.7737214505485,334.7010102265,2.0376802096985585,1.9066220364525994,180.72415337887026,0.284264142349,180.72415337887026,0,0,0,8,NA,31,NA,100,95.7737214505485,A+,A
369077000,HOS DOMINATOR,Hornbeck Offshore Services LLC,100,74.4139030195642,332.91979103,8.094941634241245,8.301952075226978,179.7623716051857,2.354541353813,179.7623716051857,0,0,0,5,1815,70,Platform Supply Ship,100,74.4139030195642,A+,A
367579000,WESTERN RANGER,Western Towboat Co,100,89.47883817057462,310.9762071,8.739001848428835,8.782740822550831,167.9137798570947,0,167.9137798570947,0,0,0,4,328,32,Tug,100,89.47883817057462,A+,A
255805960,HATSU COURAGE,MSC Mediterranean Shipping Co,99.15249230838312,53.64796924073725,293.7211101,9.837443438914027,10.07857036199095,158.5967694462657,24.863636480166,157.2526496265527,1.344119819713,0,0,3,90449,70,Container Ship (Fully Cellular),99.15249230838312,53.64796924073725,A+,A
311000188,HERMES LEADER,NYK Line,100,73.91842726491264,285.2227178,7.7178045515394915,7.8974954149933065,154.0080030351346,0,154.0080030351346,0,0,0,4,71177,70,Vehicles Carrier,100,73.91842726491264,A+,A
636019207,MSC JEWEL,MSC Mediterranean Shipping Co,100,69.64388640482274,283.9572804,8.894823529411765,9.057201129411764,153.3247212529428,0,153.3247212529428,0,0,0,1,140976,70,Container Ship (Fully Cellular),100,69.64388640482274,A+,A
374602000,MSC MELINE,MSC Mediterranean Shipping Co,100,56.4741573107967,280.8564849,9.457373737373738,9.712493818181818,151.6504250171493,1.277882754566,151.6504250171493,0,0,0,2,95497,71,Container Ship (Fully Cellular),100,56.4741573107967,A+,A
367507960,DB SALTA VERDE,NA,100,97.27417752013582,275.5319194658,2.2780427046263347,2.294332085945552,148.77538863899497,0,148.77538863899497,0,0,0,8,NA,99,NA,100,97.27417752013582,A+,A
366887950,NOT NAMED,Sause Bros Inc,100,2.2783132189356654,274.71947,6.109090909090909,343.7661984848485,148.33670086279,0,148.33670086279,0,0,0,2,538,0,Tug,100,0,A+,A
367527470,ARCADIA II,NA,100,90.40957225776327,264.498534182,5.023214285714285,5.174954087725564,142.81783502131017,0,142.81783502131017,0,0,0,7,NA,90,NA,100,90.40957225776327,A+,A
257931000,FARLAND,Sverre Farstad & Co AS,100,84.57429730376762,262.901189,7.7392,7.928759824,141.955337308873,0,141.955337308873,0,0,0,1,3636,79,Platform Supply Ship,100,84.57429730376762,A+,A
352619000,MSC ADELAIDE,MSC Mediterranean Shipping Co,100,67.32798417420702,261.8777083,9.010850439882699,9.465622463343108,141.4027017405431,0.72650674393,141.4027017405431,0,0,0,1,95390,70,Container Ship (Fully Cellular),100,67.32798417420702,A+,A
367466760,MARINA,Marina LLC,100,83.81352194291435,255.1283896,7.977233782129743,8.14053347368421,137.7583598632472,0,137.7583598632472,0,0,0,2,189,30,Fishing Vessel,100,83.81352194291435,A+,A
367466760,NOT NAMED,Marina LLC,100,6.653258771486012,248.791225,8.004819277108433,97.35201096385542,134.336563477325,0,134.336563477325,0,0,0,2,189,0,Fishing Vessel,100,0,A+,A
367012810,SAMMY G,NA,99.80678330555028,74.45374109171816,234.47973856,8.278328981723238,8.267902043342037,126.60897619364192,3.3006048731260003,126.36434651496393,0.244629678678,0,0,1,NA,52,NA,99.80678330555028,74.45374109171816,A+,A
367119940,NOELANI,Greger Pacific Marine Inc,100,96.86652746724054,227.0094129,5.74712,5.8239957744,122.5753215612453,0,122.5753215612453,0,0,0,3,242,32,Tug,100,96.86652746724054,A+,A
338090147,KEMIRA,NA,100,93.07148348538307,223.13043012,7.661871508379888,7.72882863924581,120.48083765630484,0,120.48083765630484,0,0,0,9,NA,36,NA,100,93.07148348538307,A+,A
352935000,GRAND PIONEER,Wallenius Wilhelmsen Logistics,100,74.32565679638812,215.5673205,8.138176638176638,8.386948404558405,116.39708367521851,0.215362389407,116.39708367521851,0,0,0,1,58947,70,Vehicles Carrier,100,74.32565679638812,A+,A
367176270,NORSEMAN II,Norseman Maritime Charters,99.87799062122868,84.69301428930781,194.12769935,7.587296898079764,7.525412815361891,104.82061015792796,0.127890975278,104.69271918264995,0,0,0.127890975278,5,308,99,Fishing Vessel,99.87799062122868,84.69301428930781,A+,A
303272000,NOT NAMED,NA,100,51.982971169401736,189.0348008,8.112105263157895,20.91307602631579,102.0706639355656,0,102.0706639355656,0,0,0,3,NA,0,NA,100,0,A+,A
248665000,ND THELXIS,Neptune Dry Management Co,100,90.61315005009477,188.1216286,8.992481203007518,9.85377197368421,101.57759021397021,0.829483563271,101.57759021397021,0,0,0,2,32714,70,Bulk Carrier,100,90.61315005009477,A+,A
636015975,AGIOS DIMITRIOS,MSC Mediterranean Shipping Co,99.74624455704345,58.95080382982049,185.7205483,8.975096525096525,8.916629208494209,100.2811100984231,1.077849204432,100.0266413232911,0.254468775132,0,0,1,74175,71,Container Ship (Fully Cellular),99.74624455704345,58.95080382982049,A+,A
538005981,GLOVIS CROWN,Hyundai Glovis Co Ltd,100,78.63428382610475,185.2764292,8.525555555555556,8.593447888888889,100.0413048815444,0,100.0413048815444,0,0,0,3,59760,70,Vehicles Carrier,100,78.63428382610475,A+,A
477738600,OOCL LUXEMBOURG,Orient Overseas Container Line,100,61.171153345494666,184.80175020000001,9.15936329588015,9.349475374531835,99.7849986327414,0.138358041723,99.7849986327414,0,0,0,1,89010,70,Container Ship (Fully Cellular),100,61.171153345494666,A+,A
431554000,LIBERTY ACE,Mitsui OSK Lines Ltd,100,65.8728555430577,184.6460016,8.325434439178515,8.340065150078988,99.7009010859312,0.8333129383150001,99.7009010859312,0,0,0,2,59992,70,Vehicles Carrier,100,65.8728555430577,A+,A
538005911,SILVER HANNAH,Sinokor Maritime Co Ltd,99.06941018712018,69.34608683633823,184.6046428,9.521824686940967,9.495060107334526,99.67856911235961,2.247669824631,98.7509705025756,0.9275986097840001,0,0,2,29553,80,Chemical/Products Tanker,99.06941018712018,69.34608683633823,A+,A
566086000,SALOME,Wallenius Wilhelmsen Logistics,100,69.64851609780267,184.02729,8.640445859872612,8.694986353503184,99.36682342653,0.641364704299,99.36682342653,0,0,0,1,75251,70,Vehicles Carrier,100,69.64851609780267,A+,A
636012163,COMMANDER,Dynacom Tankers Management Ltd,100,85.68802189672817,183.397993,8.177810218978102,8.25959306569343,99.027030106301,0,99.027030106301,0,0,0,2,38833,80,Crude Oil Tanker,100,85.68802189672817,A+,A
367035570,AMERICAN ISLANDER,NA,100,100,183.26067993,2.454141759180188,2.4176621598633647,98.95288695296301,0,98.95288695296301,0,0,0,6,NA,99,NA,100,100,A+,A
319025600,BRILLIANT ACE,Mitsui OSK Lines Ltd,99.87151405310705,98.86282569060387,183.2262638,8.18335724533716,8.262997030129124,98.93430372265661,0.12711667694,98.8071870457166,0,0.12711667694,0,1,59022,70,Vehicles Carrier,99.87151405310705,98.86282569060387,A+,A
351248000,MSC LUDOVICA,MSC Mediterranean Shipping Co,100,83.17031659061456,183.1171214,8.075496688741723,8.078643857615894,98.8753715197798,0,98.8753715197798,0,0,0,2,75590,79,Container Ship (Fully Cellular),100,83.17031659061456,A+,A
367740770,HUNTER D,Olympic Tug & Barge Inc,100,98.57815918395404,183.10841626,5.30616570327553,5.351302617533719,98.87067111850082,0,98.87067111850082,0,0,0,1,404,52,Tug,100,98.57815918395404,A+,A
248225000,TITANIA,Wallenius Wilhelmsen Logistics,100,84.51750722576207,183.0340851,8.104,8.068224944,98.8305354883407,0,98.8305354883407,0,0,0,1,74255,70,Vehicles Carrier,100,84.51750722576207,A+,A
538004759,VALIANT ACE,Mitsui OSK Lines Ltd,99.09487319343863,60.9234596144009,182.7753844,8.23543046357616,8.217435248344371,98.6908482344708,4.033238509135,97.7975709114778,0.893277322993,0,0,2,59022,79,Vehicles Carrier,99.09487319343863,60.9234596144009,A+,A
366751770,BILLIE H,Boyer Towing Inc,100,87.60761162384347,177.0929972,7.611908931698774,7.605334325744308,95.62260348912041,0,95.62260348912041,0,0,0,3,269,52,Tug,100,87.60761162384347,A+,A
477071800,PORT PHILLIP,Pacific Basin Shipping HK Ltd,100,84.22363683462693,174.1737244,8.161834862385321,8.18172223853211,94.0463217058508,0,94.0463217058508,0,0,0,2,20987,70,Bulk Carrier,100,84.22363683462693,A+,A
304716000,LAYLA,WIND BV,100,95.56916115070356,173.8254823062,4.906217616580311,5.069446356822798,93.85828594960884,0,93.85828594960884,0,0,0,2,1010,79,General Cargo Ship,100,95.56916115070356,A+,A
338194954,ANUENUE II,NA,100,90.21243063535196,173.4907347,7.846245059288537,8.011957549407114,93.67753663640791,0,93.67753663640791,0,0,0,5,NA,30,NA,100,90.21243063535196,A+,A
563217000,FOOCHOW,China Navigation Co Pte Ltd,100,68.80020265906127,172.8566183,8.945393258426966,9.13400015730337,93.3351410474131,0,93.3351410474131,0,0,0,1,24785,70,Bulk Carrier,100,68.80020265906127,A+,A
367743080,F/V SEA DIAMOND,NA,100,94.71981172482825,172.3913339,7.8599056603773585,7.928436179245283,93.0839074786423,0,93.0839074786423,0,0,0,3,NA,30,NA,100,94.71981172482825,A+,A
366823550,SPIRIT OF DANA PT,NA,100,94.01344871813836,168.72792906,5.289864864864865,5.530920376689189,91.10582639145042,0,91.10582639145042,0,0,0,7,NA,99,NA,100,94.01344871813836,A+,A
366892180,J.M. HIDALGO,NA,100,99.3962497672064,165.029335954,4.866968325791855,4.857766568371041,89.10874515371398,0,89.10874515371398,0,0,0,13,NA,32,NA,100,99.3962497672064,A+,A
366637150,HARRY M,NA,100,91.69402653979833,164.8373567,7.191558441558442,7.235105308441558,89.0050846116619,0,89.0050846116619,0,0,0,2,NA,32,NA,100,91.69402653979833,A+,A
432729000,DAEDALUS LEADER,NYK Line,99.22286671772092,71.40466718729124,158.1412131,9.018938053097346,9.014253026548673,85.38945500183671,0.885219004725,84.72586512746071,0.663589874376,0,0,3,62993,70,Vehicles Carrier,99.22286671772092,71.40466718729124,A+,A
303284000,DISCOVERY,Ocean Marine Services LLC,100,68.94156321372591,156.7461403,8.756854838709678,9.20845008064516,84.6361756779671,0,84.6361756779671,0,0,0,1,883,70,Platform Supply Ship,100,68.94156321372591,A+,A
477233200,KOTA PURI,Pacific International Lines,100,62.624497060568096,154.2634313,8.929280397022332,9.186283722084367,83.29561957445411,3.134456324527,83.29561957445411,0,0,0,1,113746,70,Container Ship (Fully Cellular),100,62.624497060568096,A+,A
432669000,HESTIA LEADER,NYK Line,100,100,149.12583,6.341370223978919,6.365447061923583,80.52153578931001,0,80.52153578931001,0,0,0,3,63007,70,Vehicles Carrier,100,100,A+,A
367795270,CADEN FOSS,Foss Maritime Co,100,94.61582115742152,146.9998533,8.902824858757063,8.923063258003767,79.3735997883081,0,79.3735997883081,0,0,0,3,497,52,Tug,100,94.61582115742152,A+,A
477181200,MOL BELLWETHER,Ocean Network Express Pte Ltd,99.5750156711962,60.59446531840133,146.7872949,9.321756487025947,9.410404331337325,79.2588273923193,2.871725127381,78.9219897967083,0.336837595611,0,0,2,113042,71,Container Ship (Fully Cellular),99.5750156711962,60.59446531840133,A+,A
477220800,FORTUNE TIGER,Cido Shipping HK Co Ltd,100,81.15797190097865,146.6832225,7.274204946996466,7.4678284946996465,79.2026327714325,0,79.2026327714325,0,0,0,1,32309,70,Bulk Carrier,100,81.15797190097865,A+,A
431296000,MOL COURAGE,Ocean Network Express Pte Ltd,100,68.72128735360039,146.4672767,9.426219512195122,9.44772180894309,79.0860313251019,1.19991944325,79.0860313251019,0,0,0,2,87013,71,Container Ship (Fully Cellular),100,68.72128735360039,A+,A
311076800,EUROVISION,Tsakos Shipping & Trading SA,99.17241007202686,76.15579014352227,145.71830314,7.3902298850574715,7.6079638252873565,78.68161780856498,0.65116114415,78.03045666441498,0.65116114415,0,0,5,81314,80,Crude Oil Tanker,99.17241007202686,76.15579014352227,A+,A
319120100,STOLT LOYALTY,Stolt Tankers BV,99.78619520604587,60.688496982187836,144.7338922,9.689743589743589,11.81681514957265,78.1500782306354,8.3291773298756,77.9829896168994,0.167088613736,0,0,1,29903,80,Chemical/Products Tanker,99.78619520604587,60.688496982187836,A+,A
366977270,VICTORY,NA,99.26861263769257,91.36907978209747,141.805840988,3.361525974025974,3.2618495282792206,76.56905648235752,0.5600164025500001,76.00904007980752,0.5600164025500001,0,0,18,NA,60,NA,99.26861263769257,91.36907978209747,A+,A
368086630,IRON DON,NA,100,90.28859539456202,139.8916156,7.485,7.585498618181818,75.5354570845292,0,75.5354570845292,0,0,0,2,NA,30,NA,100,90.28859539456202,A+,A
240546000,CAP PHILIPPE,Euronav NV,100,93.4398824446821,130.3364601,5.620930232558139,5.679268698674418,70.3760839862157,0,70.3760839862157,0,0,0,10,81324,89,Crude Oil Tanker,100,93.4398824446821,A+,A
367488370,RACHEL,TradeWinds Towing LLC,100,88.66566952601099,128.8522329,7.031233595800525,7.166765590551181,69.5746651199853,0,69.5746651199853,0,0,0,2,344,32,Tug,100,88.66566952601099,A+,A
367488370,RACHEL,TradeWinds Towing LLC,100,88.66566952601099,128.8522329,7.031233595800525,7.166765590551181,69.5746651199853,0,69.5746651199853,0,0,0,2,344,52,Tug,100,88.66566952601099,A+,A
338120363,BOTANY BAY,NA,100,95.69912328251556,117.354338,7.413654618473895,7.578796313253012,63.366296283466,0,63.366296283466,0,0,0,3,NA,36,NA,100,95.69912328251556,A+,A
369970276,ATLS 9701,NA,100,88.96637874990174,108.3489992,8.32865671641791,8.40617662686567,58.5038005610344,0,58.5038005610344,0,0,0,8,NA,35,NA,100,88.96637874990174,A+,A
366804620,F/V EXCALIBUR,NA,100,96.31747258523137,102.9777887,6.763785046728972,6.824246693925233,55.6035778530859,0,55.6035778530859,0,0,0,4,NA,30,NA,100,96.31747258523137,A+,A
367019310,QUIN DELTA,Gregg Drilling & Testing,100,93.95147885071896,99.7201936,6.96324200913242,6.980096666666666,53.844616575675204,0,53.844616575675204,0,0,0,3,116,90,Drilling Ship,100,93.95147885071896,A+,A
369970277,9301 MST,NA,100,97.24509131747648,98.80146,6.155821917808219,5.825779623287671,53.348539937220004,0,53.348539937220004,0,0,0,4,NA,35,NA,100,97.24509131747648,A+,A
355717000,NYK DENEB,NA,100,90.76716080334133,84.0542279,7.143956043956044,7.144940906593407,45.3856687342003,0,45.3856687342003,0,0,0,2,NA,72,NA,100,90.76716080334133,A+,A
369494288,NOT NAMED,NA,99.03786855621611,0.3413477573807674,83.583382,12.350000000000001,5129.5403325,45.131432194574,0.434223700174,44.6972084944,0,0,0.434223700174,2,NA,0,NA,0,0,A+,F
369493739,NOT NAMED,NA,100,0,82.3723,3.55,1319.04,44.477499991100004,0,44.477499991100004,0,0,0,1,NA,0,NA,100,0,A+,A
366926730,LUCY FRANCO,NA,100,94.08255242091448,81.1745425,7.723333333333334,7.6756441111111116,43.8307624446725,0,43.8307624446725,0,0,0,3,NA,31,NA,100,94.08255242091448,A+,A
366988960,PATCONA 2,NA,100,97.3786698710863,80.214467335,2.428668171557562,2.3772623445146728,43.3123631388046,0,43.3123631388046,0,0,0,6,NA,31,NA,100,97.3786698710863,A+,A
368014440,MONTE CARLO,NA,100,95.80324133818105,76.143870961,1.9224455611390285,1.6773627912227806,41.11441613248868,0,41.11441613248868,0,0,0,21,NA,30,NA,100,95.80324133818105,A+,A
369970662,NOT NAMED,NA,100,0.695377397125753,75.783884,7.525,600.7716475,40.920038652988005,0,40.920038652988005,0,0,0,1,NA,0,NA,100,0,A+,A
565947000,LORD VISHNU,NYK Line,100,98.44611944504514,75.7289546,5.914615384615384,5.972742,40.8903791389522,0,40.8903791389522,0,0,0,2,51917,70,Vehicles Carrier,100,98.44611944504514,A+,A
368784000,LIBERTY PEACE,Liberty Maritime Corp,100,97.07149410689259,74.837343,7.641717791411043,7.43795564417178,40.408947214251,0,40.408947214251,0,0,0,2,58107,70,Vehicles Carrier,100,97.07149410689259,A+,A
366873510,AMERICAN CHALLENGER,American Marine Corp,100,88.25436098989823,73.8964163,8.038645418326693,7.987527091633466,39.900887256099104,0,39.900887256099104,0,0,0,1,342,52,Tug,100,88.25436098989823,A+,A
636092308,NOT NAMED,Rudolf A Oetker A/S & Co KG,99.70846880728837,7.635840547645061,73.5362134,8.896,111.84227800000001,39.7063931788238,0.64809418839,39.5906366572068,0.115756521617,0,0,1,43951,0,Bulk Carrier,99.70846880728837,0,A+,A
431178000,WORLD SWAN 2,Toyo Kaiun Co Ltd,100,74.0034555568092,73.5222177,8.359243697478991,8.426543865546218,39.6988361026389,0,39.6988361026389,0,0,0,2,39894,70,Wood Chips Carrier,100,74.0034555568092,A+,A
352981000,HOKUETSU IBIS,Kawasaki Kisen Kaisha Ltd,100,63.51286831557489,73.5072974,9.509236947791164,9.547999558232931,39.6907797822118,0,39.6907797822118,0,0,0,1,49166,70,Wood Chips Carrier,100,63.51286831557489,A+,A
338752000,OCEAN RANGER,Western Towboat Co,100,93.46621714683239,73.287682,7.195583596214511,7.220288958990536,39.572196909674,0,39.572196909674,0,0,0,1,333,32,Tug,100,93.46621714683239,A+,A
367765860,SEACRET,NA,100,96.30110923810062,71.0953491,8.295294117647058,8.410876352941177,38.3884314139887,0,38.3884314139887,0,0,0,3,NA,37,NA,100,96.30110923810062,A+,A
367690060,NOT NAMED,NA,100,0,66.7279,2.9000000000000004,495.1036666666667,36.0301967003,0,36.0301967003,0,0,0,1,NA,0,NA,100,0,A+,A
356577000,VIRGO LEADER,NYK Line,100,68.62600083490948,62.5885817,8.871759259259258,8.866691203703704,33.7951428089869,0,33.7951428089869,0,0,0,1,61854,70,Vehicles Carrier,100,68.62600083490948,A+,A
2199582,NOT NAMED,NA,100,0,59.0356,3.3,2228.53,31.8766854692,0,31.8766854692,0,0,0,1,NA,0,NA,100,0,A+,A
477049800,NOT NAMED,Pacific Basin Shipping HK Ltd,100,1.0125095585072252,58.725174,8.975,342.3566475,31.709068777518002,0,31.709068777518002,0,0,0,2,17018,0,Bulk Carrier,100,0,A+,A
341500000,SAFARI VOYAGER,Innersea Discoveries LLC,99.43027971416326,57.93240581126589,56.6521867,9.136470588235294,9.340536470588235,30.5897447739719,0.17427598136300002,30.415468792608902,0.17427598136300002,0,0,2,1195,69,Passenger/Cruise,99.43027971416326,57.93240581126589,A+,A
566253000,TORM ARAWA,TORM A/S,100,71.31903377005504,53.7678099,8.886274509803922,9.063220196078431,29.032305330174303,0,29.032305330174303,0,0,0,1,30302,89,Chemical/Products Tanker,100,71.31903377005504,A+,A
367492920,KENNETH CARL,So Cal Ship Services,100,95.45731976470475,52.950876474,3.2222222222222223,3.045498914126984,28.591196408271617,0,28.591196408271617,0,0,0,9,200,79,Pollution Control Vessel,100,95.45731976470475,A+,A
376431640,NOT NAMED,NA,100,0,47.7974,0.3,2550.04,25.808540711800003,0,25.808540711800003,0,0,0,1,NA,0,NA,100,0,A+,A
367034320,CITY OF LONG BEACH,NA,100,96.30362470418265,46.4169859035,1.9613636363636364,1.7530251571363635,25.06317645749615,0,25.06317645749615,0,0,0,9,NA,99,NA,100,96.30362470418265,A+,A
477307700,DHT LION,DHT Management AS,100,82.37569471271082,45.800767,5.5576923076923075,5.958428076923077,24.730444747019,0,24.730444747019,0,0,0,3,154180,89,Crude Oil Tanker,100,82.37569471271082,A+,A
367000160,YELLOWFIN,California State,100,95.30779692537266,44.151237,5.149230769230769,5.357246183846154,23.839769476809,0,23.839769476809,0,0,0,4,109,90,Fishing Vessel,100,95.30779692537266,A+,A
338926817,NOT NAMED,NA,100,0,43.9356,8.6,1708.49,23.7233347692,0,23.7233347692,0,0,0,1,NA,0,NA,100,0,A+,A
