mmsi,shiptype,operator,year,cooperation_score,coop_score,grade,total_distance_km_under_10,percent_under_10_knots,total_distance_km_btwn_10_12,percent_10_12_knots,total_distance_km_btwn_12_15,percent_12_15_knots,total_distance_km_over_15,percent_over_15_knots,total_distance_km,total_distance_km_weird,avg_speed_knots,max_speed_knots,min_speed_knots,max_implied_speed_knots,min_implied_speed_knots,max_final_calculated_speed_knots,min_final_calculated_speed_knots,max_final_lenient_speed_knots,min_final_lenient_speed_knots
319421000,Yacht,Arran Point Charters Ltd,2018,1.70%,1.7,F,1.9,1.70%,29.9,27%,76.9,69.50%,2.5,2.30%,110.7,0,12.2,13,11,17.712,0,17.712,0,13,0
636017731,Container Ship (Fully Cellular),Great White Fleet Ltd,2018,1.70%,1.7,F,6.3,1.70%,34.9,9.20%,145.2,38.30%,192.7,50.80%,379.1,0,14.6,18.5,5.9,21.778,0,21.778,0,18.5,0
538004709,Vehicles Carrier,Kawasaki Kisen Kaisha Ltd,2017,1.70%,1.7,F,3,1.70%,8.8,5%,14.1,8.10%,148.5,85.10%,174.6,0,17.5,17.9,15.8,53.891,0,53.891,0,17.4,0
352166000,Bulk Carrier,Fortuna Seaside Bulk Carriers,2018,1.70%,1.7,F,3.1,1.70%,103.9,56.20%,77.2,41.80%,0.4,0.20%,184.8,0,11.6,12.7,10.7,18.037,0,18.037,0,12.5,0
636019081,Container Ship (Fully Cellular),SM Line Corp,2018,1.70%,1.7,F,3.2,1.70%,11.8,6.40%,107.2,58.50%,60.8,33.20%,183.2,0,13.9,15.6,5.1,18.039,0,18.039,0,15.6,0
372370000,General Cargo Ship,Wisdom Marine Lines SA,2018,1.60%,1.6,F,5.7,1.60%,251.4,71.70%,92.2,26.30%,1.1,0.30%,350.8,0,11.5,12.7,1.6,18.342,1.703,18.342,1.703,12.5,1.6
266338000,Vehicles Carrier,Wallenius Wilhelmsen Logistics,2017,1.60%,1.6,F,1.2,1.60%,1.3,1.70%,4.5,6.10%,67.4,90.70%,74.3,0,16.1,16.4,15,69.017,1.088,46.371,1.088,16.4,1.088
372557000,Crude Oil Tanker,Shanghai Tucson Roy Shp Mgmt,2018,1.60%,1.6,F,31.1,1.60%,527.7,27.60%,1202.2,62.80%,152.8,8%,1913,0,12.6,18.7,10.4,92.122,0,39.692,0,18.7,0
538071225,Yacht,Liocensa Investments Ltd,2019,1.60%,1.6,F,6.9,1.60%,166.4,39%,237.2,55.60%,16.7,3.90%,426.7,0,12.6,15.1,8.2,46.617,0,46.617,0,15,0
232008102,Chemical/Products Tanker,Stolt Tankers BV,2018,1.60%,1.6,F,2.9,1.60%,118.1,63.80%,63,34.10%,1.6,0.90%,185,0,11.8,12.5,10.8,20.4,0,20.4,0,12.459,0
538004913,Container Ship (Fully Cellular),Wan Hai Lines Ltd,2018,1.60%,1.6,F,9.8,1.60%,323.8,52%,117.1,18.80%,172.7,27.70%,622.8,0,13,19.2,10,50.169,0,50.169,0,19.2,0
566044000,Vehicles Carrier,Wallenius Wilhelmsen Logistics,2018,1.60%,1.6,F,2.7,1.60%,15.1,9.10%,139.2,84.10%,8.9,5.40%,165.5,0,13.2,14.3,8.9,21.055,0,21.055,0,14.3,0
366799000,Container Ship (Fully Cellular),Pasha Hawaii Holdings LLC,2017,1.60%,1.6,F,35.1,1.60%,31.3,1.40%,115.8,5.20%,2028.6,91.70%,2211.8,0,19.8,21.7,16.4,155.612,0,58.44,0,21.7,0
477669400,Bulk Carrier,Pacific Basin Shipping HK Ltd,2018,1.60%,1.6,F,8.6,1.60%,235.6,43.40%,290.4,53.50%,8.7,1.60%,542.6,0,12.3,14.8,9.2,28.45,0,28.45,0,14.8,0
440253000,Vehicles Carrier,EUKOR Car Carriers Inc,2018,1.60%,1.6,F,2.9,1.60%,1.4,0.80%,13.9,7.70%,161.7,89.80%,180.1,0,16.4,17.6,8.5,18.61,8.644,18.61,8.644,17.346,8.5
636091380,Container Ship (Fully Cellular),Hamburg Sudamerikanische,2018,1.60%,1.6,F,23.8,1.60%,466.4,32.20%,195.8,13.50%,762.8,52.70%,1447.3,0,14.1,18.8,10,85.046,0,53.67,0,18.8,0
538006704,Bulk Carrier,Ionic Shipping Mgt Inc,2018,1.60%,1.6,F,3.1,1.60%,140.2,73.90%,40.2,21.20%,6.2,3.30%,189.6,0,11.7,12.4,10.8,94.541,0,41.403,0,12.393,0
538070502,Yacht,RAS I LLC,2019,1.60%,1.6,F,6.6,1.60%,160.4,37.80%,257.1,60.60%,1.1,0.30%,424,0,11.5,14.1,9.3,15.765,0,15.765,0,13.8,0
220598000,Container Ship (Fully Cellular),Maersk A/S,2018,1.60%,1.6,F,2.9,1.60%,160.9,88%,18.5,10.10%,0.1,0.10%,182.8,0,11,12.3,10,18.465,0,18.465,0,12.28,0
229947000,Container Ship (Fully Cellular),CMA CGM SA The French Line,2018,1.60%,1.6,F,11.7,1.60%,479.9,65.20%,127.5,17.30%,118.1,16.10%,735.8,0,12.6,20.5,9.7,37.553,4.204,37.553,4.204,20.5,4.204
355418000,Open Hatch Cargo Ship,Exeno Yamamizu Corp,2018,1.50%,1.5,F,1.1,1.50%,6,8.10%,49.5,66.40%,17.8,23.90%,74.5,0,14.1,14.3,13.1,37.873,0,37.873,0,14.27,0
371060000,Vehicles Carrier,Mitsui OSK Lines Ltd,2017,1.50%,1.5,F,2.6,1.50%,6.5,3.60%,13.5,7.50%,156.1,87.20%,179.1,0,19,19.1,18,122.256,0,39.829,0,19.1,0
636018225,Container Ship (Fully Cellular),Ocean Network Express Pte Ltd,2018,1.50%,1.5,F,5.3,1.50%,106.6,29.90%,65.9,18.50%,179.1,50.30%,356.3,0,15.2,21.4,10.2,38.594,0,38.594,0,21.4,0
352715000,Bulk Carrier,Tsurumi Kisen Co Ltd,2018,1.50%,1.5,F,5.5,1.50%,146.5,39.80%,208.3,56.60%,7.5,2%,367.9,0,12.1,12.9,10.6,27.661,0,27.661,0,12.9,0
477607600,Open Hatch Cargo Ship,Saga Welco AS,2018,1.50%,1.5,F,6.6,1.50%,306.2,68.90%,121.6,27.30%,9.9,2.20%,444.7,0,11.6,14.4,10,48.27,0,48.27,0,14.4,0
240311000,Bulk Carrier,Adelfia Navigation SA,2018,1.50%,1.5,F,2.8,1.50%,136,75.10%,41.5,22.90%,0.9,0.50%,181.1,0,11.8,12.7,10.7,29.717,6.168,29.717,6.168,12.7,6.168
356565000,Container Ship (Fully Cellular),Ocean Network Express Pte Ltd,2018,1.50%,1.5,F,16.9,1.50%,53.3,4.80%,311.6,28.30%,716.4,65.20%,1099.3,0,16.5,22.2,8.9,41.533,0,41.533,0.618,22.2,0.618
255806028,Container Ship (Fully Cellular),MSC Mediterranean Shipping Co,2018,1.50%,1.5,F,1.1,1.50%,0,0%,5,6.70%,68.5,91.20%,75.1,0,18,17.7,17,57.228,0,57.228,0,17.7,0
538004182,Bulk Carrier,Interlink Maritime Corp,2018,1.40%,1.4,F,2.6,1.40%,173.1,93.60%,8.1,4.40%,1.3,0.70%,184.9,0,11.4,12.1,10.5,21.217,0,21.217,0,12.1,0
357147000,Vehicles Carrier,Mitsui OSK Lines Ltd,2017,1.40%,1.4,F,2.6,1.40%,2.1,1.10%,10.6,5.70%,170.2,91.90%,185.3,0,19.1,19.4,17.7,56.864,0,56.864,0,19.4,0
257672000,Vehicles Carrier,Wallenius Wilhelmsen Logistics,2018,1.40%,1.4,F,5.2,1.40%,189.4,51.30%,96.8,26.20%,78,21.10%,369.2,0,12.6,15.5,10,27.734,0,27.734,0,15.5,0
567278000,Bulk Carrier,Precious Shipping PCL,2018,1.40%,1.4,F,5.3,1.40%,175.5,47.60%,186.9,50.70%,1.2,0.30%,368.9,0,11.9,13.3,10,39.701,0,39.701,0.641,13.3,0.641
367007880,Tug,Sause Bros Inc,2019,1.40%,1.4,F,7.7,1.40%,90.2,16.80%,437.8,81.50%,1.5,0.30%,537.1,0,12.3,13.6,7,18.447,0,18.447,0,13.6,0
367196000,Container Ship (Fully Cellular/Ro-Ro Facility),Matson Navigation Co Inc,2017,1.40%,1.4,F,1.1,1.40%,1.2,1.60%,6.1,8%,67.8,88.90%,76.3,0,20.4,20.7,19.8,43.905,0,43.905,0,20.7,0
538004777,Bulk Carrier,Sugahara Kisen KK,2018,1.40%,1.4,F,2.4,1.40%,12.8,7.40%,146.8,85.20%,10.8,6.30%,172.2,0,13.6,14.3,11.9,33.38,0,33.38,0,14.245,0
235009240,Container Ship (Fully Cellular),Evergreen Marine Corp,2018,1.40%,1.4,F,1.1,1.40%,1.7,2.10%,5.4,6.80%,71.6,89.90%,79.6,0,19.9,19.9,16.4,64.427,4.995,46.788,4.995,19.8,4.995
369527000,Vehicles Carrier,Seabulk Fleet Management LLC,2018,1.40%,1.4,F,8.8,1.40%,172.3,27.40%,88.6,14.10%,358.5,57%,628.9,0,14.7,18,4.9,92.072,0,47.165,0.537,17.94,0.537
240681000,Crude Oil Tanker,Eletson Corp,2018,1.40%,1.4,F,2.9,1.40%,25.9,12.80%,160.1,78.80%,14.5,7.10%,203.1,0,12.3,13.5,11.8,161.837,0,42.143,0,13.5,0
